model,RMSE,MAE,R2
Persistence Baseline,0.036260550825108956,0.026587760043893037,
Linear Regression,0.025366300637838617,0.01834001082183371,-0.0376786712453987
Ridge,0.025090769095617478,0.018049393508280977,-0.015258342923175405
Lasso,0.024902760840350122,0.01778730465638151,-0.00010043233024026321
