model,RMSE,MAE,R2
Persistence Baseline,0.036260550825108956,0.026587760043893037,
Linear Regression,0.025366,0.01834,-0.037679
Ridge,0.025091,0.018049,-0.015258
Lasso,0.024903,0.017787,-0.0001
Random Forest,0.026977238233864238,0.019275251235172455,-0.1736634872670102
