feature,importance
PROC,0.2180524328209476
RSI,0.17121977226849933
Volume,0.11966776733865862
MACD,0.11731016405042773
StochK,0.10284451682409218
MOM,0.08234483297091626
Signal,0.06571902057679738
Close,0.06202823147236143
EMA9,0.03268579310241256
EMA21,0.028127468574886932
